Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Gender,Age,Claim
JZI,Airlines,Online,Value Plan,28,HONG KONG,58.0,20.3,M,49,No
JZI,Airlines,Online,Basic Plan,15,HONG KONG,22.0,7.7,M,67,No
C2B,Airlines,Online,Silver Plan,18,SINGAPORE,48.5,12.13,M,20,No
JZI,Airlines,Online,Basic Plan,42,"TAIWAN, PROVINCE OF CHINA",26.0,9.1,F,33,No
TST,Travel Agency,Offline,Travel Cruise Protect,8,THAILAND,30.0,10.5,M,67,No
RAB,Airlines,Online,Value Plan,12,BRUNEI DARUSSALAM,15.0,6.0,M,56,No
C2B,Airlines,Online,Silver Plan,63,SINGAPORE,70.85,17.71,F,25,No
JZI,Airlines,Online,Basic Plan,42,MALAYSIA,0.0,20.3,F,47,No
JZI,Airlines,Online,Basic Plan,44,INDONESIA,30.0,10.5,F,38,No
C2B,Airlines,Online,Annual Silver Plan,405,SINGAPORE,161.0,40.25,M,43,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,18.5,4.63,F,44,No
C2B,Airlines,Online,Bronze Plan,83,SINGAPORE,53.0,13.25,F,64,No
JZI,Airlines,Online,Basic Plan,5,VIET NAM,18.0,6.3,M,40,No
JZI,Airlines,Online,Value Plan,16,CHINA,0.0,24.15,M,54,No
JZI,Airlines,Online,Basic Plan,20,UNITED ARAB EMIRATES,49.0,17.15,M,49,No
C2B,Airlines,Online,Silver Plan,12,SINGAPORE,39.0,9.75,M,33,No
JZI,Airlines,Online,Basic Plan,34,VIET NAM,30.0,10.5,M,29,No
JZI,Airlines,Online,Value Plan,12,UNITED KINGDOM,109.0,38.15,M,51,No
C2B,Airlines,Online,Gold Plan,5,SINGAPORE,37.8,9.45,F,36,No
C2B,Airlines,Online,Bronze Plan,37,SINGAPORE,0.0,15.57,M,41,No
C2B,Airlines,Online,Bronze Plan,24,SINGAPORE,18.0,4.5,F,33,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,18.5,4.63,F,23,No
JZI,Airlines,Online,Value Plan,20,DENMARK,67.0,23.45,F,38,No
RAB,Airlines,Online,Value Plan,8,BRUNEI DARUSSALAM,15.0,6.0,M,38,No
JZI,Airlines,Online,Basic Plan,27,HONG KONG,26.0,9.1,M,48,No
JZI,Airlines,Online,Basic Plan,58,INDONESIA,30.0,10.5,F,46,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,38.35,9.59,F,30,No
JWT,Airlines,Online,Value Plan,21,INDIA,117.0,46.8,M,118,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,21.0,5.25,F,27,No
JZI,Airlines,Online,Basic Plan,94,MALAYSIA,22.0,7.7,M,23,No
JZI,Airlines,Online,Basic Plan,16,MACAO,44.0,15.4,M,47,No
C2B,Airlines,Online,Annual Silver Plan,380,SINGAPORE,252.85,63.21,M,34,Yes
JZI,Airlines,Online,Basic Plan,5,JAPAN,26.0,9.1,F,35,No
JZI,Airlines,Online,Basic Plan,63,VIET NAM,22.0,7.7,M,51,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,10,JAPAN,36.5,23.73,M,33,Yes
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,23.4,5.85,M,33,No
JZI,Airlines,Online,Basic Plan,8,INDIA,22.0,7.7,F,47,No
JZI,Airlines,Online,Value Plan,9,"KOREA, REPUBLIC OF",58.0,20.3,M,43,No
KML,Travel Agency,Online,Value Plan,49,ITALY,146.0,55.48,F,48,No
JZI,Airlines,Online,Basic Plan,25,INDIA,35.0,12.25,M,48,No
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,21.0,5.25,F,71,No
JZI,Airlines,Online,Value Plan,97,JAPAN,45.0,15.75,M,27,No
JZI,Airlines,Online,Basic Plan,23,PHILIPPINES,30.0,10.5,M,54,No
JZI,Airlines,Online,Basic Plan,63,HONG KONG,22.0,7.7,M,57,No
JZI,Airlines,Online,Basic Plan,8,THAILAND,18.0,6.3,M,30,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,35.0,8.75,F,55,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,F,44,No
JZI,Airlines,Online,Basic Plan,1,CHINA,22.0,7.7,M,59,No
JZI,Airlines,Online,Value Plan,7,JAPAN,45.0,15.75,M,43,No
C2B,Airlines,Online,Bronze Plan,2,SINGAPORE,11.5,2.88,M,29,No
TST,Travel Agency,Offline,Travel Cruise Protect,71,THAILAND,30.0,10.5,F,55,No
C2B,Airlines,Online,Bronze Plan,47,SINGAPORE,20.0,5.0,F,24,No
C2B,Airlines,Online,Silver Plan,33,SINGAPORE,74.4,18.6,M,1,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,17.55,4.39,M,37,No
C2B,Airlines,Online,Bronze Plan,3,SINGAPORE,14.95,3.74,M,40,No
JZI,Airlines,Online,Value Plan,26,UNITED STATES,96.0,33.6,M,48,No
JZI,Airlines,Online,Basic Plan,13,THAILAND,22.0,7.7,M,42,No
C2B,Airlines,Online,Silver Plan,83,SINGAPORE,76.3,19.07,F,39,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,17.55,4.39,M,66,No
C2B,Airlines,Online,Gold Plan,33,SINGAPORE,42.5,10.63,F,30,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,4,MALAYSIA,31.0,20.15,M,46,No
JZI,Airlines,Online,Basic Plan,16,HONG KONG,22.0,7.7,M,35,No
JZI,Airlines,Online,Basic Plan,4,INDONESIA,18.0,6.3,F,31,No
RAB,Airlines,Online,Value Plan,119,BRUNEI DARUSSALAM,31.0,12.4,M,25,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,20.0,5.0,F,57,No
ART,Airlines,Online,24 Protect,85,CAMBODIA,29.08,10.18,M,48,No
JZI,Airlines,Online,Value Plan,9,VIET NAM,33.0,11.55,M,38,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,31.85,7.96,M,9,No
JZI,Airlines,Online,Basic Plan,36,JAPAN,40.0,14.0,M,56,No
C2B,Airlines,Online,Silver Plan,3,SINGAPORE,15.0,3.75,F,54,No
C2B,Airlines,Online,Silver Plan,44,SINGAPORE,72.0,18.0,F,37,No
C2B,Airlines,Online,Silver Plan,45,SINGAPORE,148.0,37.0,M,32,No
JZI,Airlines,Online,Basic Plan,88,JAPAN,40.0,14.0,F,31,No
C2B,Airlines,Online,Silver Plan,34,SINGAPORE,95.0,23.75,M,31,No
JZI,Airlines,Online,Basic Plan,36,JAPAN,35.0,12.25,M,48,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,23.5,5.88,M,26,No
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,37.05,9.26,M,31,No
JZI,Airlines,Online,Basic Plan,4,VIET NAM,18.0,6.3,M,49,No
C2B,Airlines,Online,Bronze Plan,16,SINGAPORE,29.5,7.38,M,44,No
JZI,Airlines,Online,Value Plan,81,HONG KONG,69.0,24.15,F,33,No
JZI,Airlines,Online,Basic Plan,13,HONG KONG,22.0,7.7,F,51,No
JZI,Airlines,Online,Value Plan,17,NEW ZEALAND,45.0,15.75,M,30,No
C2B,Airlines,Online,Bronze Plan,27,SINGAPORE,39.0,9.75,M,39,No
LWC,Travel Agency,Online,Annual Travel Protect Silver,364,UNITED STATES,287.25,186.71,F,48,No
C2B,Airlines,Online,Bronze Plan,7,SINGAPORE,16.0,4.0,M,31,No
C2B,Airlines,Online,Bronze Plan,49,SINGAPORE,39.0,9.75,M,29,No
JZI,Airlines,Online,Basic Plan,11,HONG KONG,26.0,9.1,M,33,No
C2B,Airlines,Online,Bronze Plan,5,SINGAPORE,16.0,4.0,M,37,No
JZI,Airlines,Online,Basic Plan,10,"KOREA, REPUBLIC OF",35.0,12.25,F,22,No
C2B,Airlines,Online,Silver Plan,6,SINGAPORE,29.0,7.25,F,25,No
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,100.1,25.02,F,24,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,29.0,7.25,F,57,No
C2B,Airlines,Online,Bronze Plan,51,SINGAPORE,56.5,14.13,M,31,No
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,21.0,5.25,F,41,No
C2B,Airlines,Online,Annual Silver Plan,367,SINGAPORE,252.85,63.21,F,37,No
JZI,Airlines,Online,Basic Plan,22,VIET NAM,22.0,7.7,F,30,No
JZI,Airlines,Online,Basic Plan,13,VIET NAM,22.0,7.7,F,38,No
LWC,Travel Agency,Online,Annual Travel Protect Gold,373,INDONESIA,231.0,150.15,M,37,No
C2B,Airlines,Online,Silver Plan,9,SINGAPORE,0.0,6.13,M,35,No
C2B,Airlines,Online,Bronze Plan,59,SINGAPORE,96.6,24.15,F,28,No
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,16.0,4.0,F,24,No
JZI,Airlines,Online,Basic Plan,99,HONG KONG,69.0,24.15,M,35,No
C2B,Airlines,Online,Silver Plan,32,SINGAPORE,157.0,39.25,F,38,No
JZI,Airlines,Online,Basic Plan,43,HONG KONG,26.0,9.1,M,41,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,F,30,No
JZI,Airlines,Online,Basic Plan,56,THAILAND,22.0,7.7,F,44,No
JZI,Airlines,Online,Value Plan,9,PHILIPPINES,33.0,11.55,M,41,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,23.5,5.88,M,26,No
JZI,Airlines,Online,Basic Plan,23,THAILAND,42.0,14.7,F,44,No
C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,24.0,6.0,F,33,No
C2B,Airlines,Online,Bronze Plan,99,SINGAPORE,60.0,15.0,F,41,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,30.55,7.64,M,30,Yes
C2B,Airlines,Online,Bronze Plan,6,SINGAPORE,19.2,4.8,M,50,No
JZI,Airlines,Online,Basic Plan,41,CHINA,44.0,15.4,F,37,No
C2B,Airlines,Online,Bronze Plan,14,SINGAPORE,27.0,6.75,F,60,No
JZI,Airlines,Online,Basic Plan,6,THAILAND,22.0,7.7,M,35,No
JZI,Airlines,Online,Basic Plan,16,PHILIPPINES,18.0,6.3,F,48,No
JZI,Airlines,Online,Basic Plan,11,VIET NAM,22.0,7.7,M,41,No
RAB,Airlines,Online,Value Plan,151,BRUNEI DARUSSALAM,31.0,12.4,M,26,No
C2B,Airlines,Online,Annual Silver Plan,406,SINGAPORE,161.0,40.25,F,37,No
LWC,Travel Agency,Online,Single Trip Travel Protect Gold,111,AUSTRALIA,50.5,32.83,F,48,No
JZI,Airlines,Online,Value Plan,84,"KOREA, REPUBLIC OF",69.0,24.15,F,34,No
C2B,Airlines,Online,Annual Silver Plan,377,SINGAPORE,252.85,63.21,F,57,No
LWC,Travel Agency,Online,Single Trip Travel Protect Platinum,44,THAILAND,26.0,16.9,M,65,No
C2B,Airlines,Online,Bronze Plan,13,SINGAPORE,26.5,6.63,F,28,No
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,22.5,5.63,M,32,No
JWT,Airlines,Online,Value Plan,50,INDIA,60.0,24.0,M,118,No
JZI,Airlines,Online,Basic Plan,8,CHINA,26.0,9.1,F,44,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,23.5,5.88,F,24,No
C2B,Airlines,Online,Bronze Plan,19,SINGAPORE,53.5,13.38,M,38,No
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,187.85,46.96,F,42,No
C2B,Airlines,Online,Silver Plan,7,SINGAPORE,22.5,5.63,M,28,No
JZI,Airlines,Online,Basic Plan,4,MALAYSIA,22.0,7.7,M,54,No
JZI,Airlines,Online,Basic Plan,19,PHILIPPINES,33.0,11.55,F,32,No
JZI,Airlines,Online,Basic Plan,6,PHILIPPINES,22.0,7.7,M,37,No
RAB,Airlines,Online,Value Plan,17,BRUNEI DARUSSALAM,31.0,12.4,M,32,No
C2B,Airlines,Online,Bronze Plan,9,SINGAPORE,20.0,5.0,M,31,No
C2B,Airlines,Online,Silver Plan,10,SINGAPORE,37.5,9.38,M,25,No
C2B,Airlines,Online,Silver Plan,15,SINGAPORE,42.0,10.5,M,26,Yes
C2B,Airlines,Online,Silver Plan,4,SINGAPORE,29.0,7.25,M,48,No
C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,115.7,28.93,M,28,No
C2B,Airlines,Online,Bronze Plan,4,SINGAPORE,16.0,4.0,M,60,No
JZI,Airlines,Online,Basic Plan,73,CHINA,26.0,9.1,M,56,No
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,252.85,63.21,M,50,No
C2B,Airlines,Online,Bronze Plan,8,SINGAPORE,21.0,5.25,F,24,No
JZI,Airlines,Online,Basic Plan,38,HONG KONG,22.0,7.7,F,41,No
RAB,Airlines,Online,Value Plan,11,BRUNEI DARUSSALAM,23.0,9.2,M,45,No
C2B,Airlines,Online,Bronze Plan,23,SINGAPORE,58.18528559436133,14.543821398590334,F,35,Yes
C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,63.65916505450721,15.913923095549338,F,24,Yes
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,63.23245370998279,15.807595022815383,F,24,Yes
C2B,Airlines,Online,Bronze Plan,43,SINGAPORE,66.23294879221277,16.5559667054517,F,25,Yes
C2B,Airlines,Online,Bronze Plan,41,SINGAPORE,64.0033630773134,15.998340769328347,F,27,Yes
C2B,Airlines,Online,Bronze Plan,43,SINGAPORE,59.85187016174953,14.962196605001473,F,24,Yes
C2B,Airlines,Online,Bronze Plan,45,SINGAPORE,63.241744592234305,15.808654315675206,F,24,Yes
C2B,Airlines,Online,Premier Plan,20,SINGAPORE,71.75118623023339,17.93769859938127,F,30,Yes
C2B,Airlines,Online,Bronze Plan,50,SINGAPORE,61.54236936313166,15.383793301642449,F,24,Yes
C2B,Airlines,Online,Individual Comprehensive Plan,24,SINGAPORE,70.68688987954503,17.67120549739789,F,29,Yes
C2B,Airlines,Online,Bronze Plan,40,SINGAPORE,62.82305634872361,15.705581254108179,F,24,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,58.585444493731515,14.649651742700312,F,24,Yes
C2B,Airlines,Online,Bronze Plan,56,SINGAPORE,55.85227348760775,13.962240338883573,F,23,Yes
C2B,Airlines,Online,Bronze Plan,42,SINGAPORE,56.78564184855553,14.196553908903724,F,24,Yes
C2B,Airlines,Online,Bronze Plan,49,SINGAPORE,62.69982324194407,15.67295925361879,F,24,Yes
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,58.79708295779811,14.696770739449528,F,34,Yes
C2B,Airlines,Online,Bronze Plan,48,SINGAPORE,63.40810178271859,15.849908022167236,F,24,Yes
C2B,Airlines,Online,Bronze Plan,26,SINGAPORE,59.10584170804458,14.773960427011145,F,34,Yes
C2B,Airlines,Online,Bronze Plan,38,SINGAPORE,46.73262465593429,11.686297528400292,F,23,Yes
C2B,Airlines,Online,Bronze Plan,39,SINGAPORE,48.786175840546804,12.199072933544091,F,23,Yes
C2B,Airlines,Online,Bronze Plan,38,SINGAPORE,63.25844712155764,15.812111780389408,F,28,Yes
C2B,Airlines,Online,Bronze Plan,25,SINGAPORE,58.725292904492456,14.678823226123114,F,34,Yes
C2B,Airlines,Online,Bronze Plan,44,SINGAPORE,62.266744977000705,15.56519516721926,F,24,Yes
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,57.138046532657455,14.288988644203169,F,24,Yes
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,60.04784119474725,15.009460298686811,F,32,Yes
C2B,Airlines,Online,Individual Comprehensive Plan,29,SINGAPORE,69.54416560341659,17.385074536918484,F,28,Yes
C2B,Airlines,Online,Comprehensive Plan,26,SINGAPORE,40.676892512992374,10.17245420311817,F,24,Yes
C2B,Airlines,Online,Bronze Plan,31,SINGAPORE,48.75760549944498,12.194401374861245,F,23,Yes
C2B,Airlines,Online,Premier Plan,10,SINGAPORE,40.98120902736852,10.245490166568445,F,25,Yes
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,40.503003826843326,10.130750956710832,F,23,Yes
C2B,Airlines,Online,Bronze Plan,35,SINGAPORE,40.531364790394875,10.137736648297404,M,23,Yes
C2B,Airlines,Online,Bronze Plan,29,SINGAPORE,48.55810142586114,12.14104202731866,M,29,Yes
C2B,Airlines,Online,Premier Plan,11,SINGAPORE,40.96989763839208,10.2427754332141,F,25,Yes
C2B,Airlines,Online,Individual Comprehensive Plan,20,SINGAPORE,40.805473233109794,10.203313575946352,F,24,Yes
C2B,Airlines,Online,Bronze Plan,28,SINGAPORE,51.14151607072148,12.785778938687262,M,30,Yes
C2B,Airlines,Online,Premier Plan,17,SINGAPORE,41.83159983512535,10.458461292664254,M,25,Yes
C2B,Airlines,Online,Gold Plan,25,SINGAPORE,40.70663153691971,10.179591568860731,F,24,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,46.808484591022875,11.707121147755718,F,23,Yes
C2B,Airlines,Online,Individual Comprehensive Plan,19,SINGAPORE,40.82320793944527,10.207569905466865,F,24,Yes
C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,40.457750136128844,10.119015035393499,F,23,Yes
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,43.986919860619935,11.001729965154984,F,23,Yes
C2B,Airlines,Online,Comprehensive Plan,26,SINGAPORE,40.67589631633135,10.172215115919524,F,24,Yes
C2B,Airlines,Online,Bronze Plan,34,SINGAPORE,42.61475936850966,10.658689842127416,F,23,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,45.44984360543927,11.365321199513087,M,26,Yes
C2B,Airlines,Online,Comprehensive Plan,30,SINGAPORE,40.6053383721263,10.155281209310312,F,23,Yes
C2B,Airlines,Online,Premier Plan,13,SINGAPORE,40.92855771899922,10.232853852559813,F,25,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,40.74484346608899,10.190394721635284,M,23,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,47.46897708997907,11.872244272494768,F,23,Yes
C2B,Airlines,Online,Gold Plan,20,SINGAPORE,40.79185668006093,10.200045603214624,F,24,Yes
C2B,Airlines,Online,Bronze Plan,32,SINGAPORE,48.002314466939495,12.005578616734875,F,23,Yes
C2B,Airlines,Online,Gold Plan,20,SINGAPORE,40.79392521162669,10.200542050790407,F,24,Yes
C2B,Airlines,Online,Individual Comprehensive Plan,20,SINGAPORE,41.61918674552065,10.406066063895095,M,25,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,99,MALAYSIA,42.85734384109298,13.607343841092977,F,21,Yes
CBH,Airlines,Online,Premier Plan,63,NETHERLANDS,41.99310495006166,12.292070692570903,F,27,Yes
CCR,Airlines,Online,Silver Plan,82,NEPAL,48.08146366450743,14.209268167746284,F,21,Yes
JWT,Airlines,Online,Spouse or Parents Comprehensive Plan,94,LAO PEOPLE'S DEMOCRATIC REPUBLIC,44.27160316513019,14.912343639899719,F,21,Yes
JWT,Airlines,Online,Spouse or Parents Comprehensive Plan,92,LAO PEOPLE'S DEMOCRATIC REPUBLIC,44.19252884591688,14.741558247567303,F,19,Yes
JWT,Airlines,Online,Travel Cruise Protect,103,"KOREA, REPUBLIC OF",44.52407490207303,15.274074902073032,F,19,Yes
C2B,Airlines,Online,Comprehensive Plan,66,PHILIPPINES,50.33478636771345,13.082606816143278,F,22,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,87,MACAO,43.74124931761185,14.30243671525363,F,22,Yes
JWT,Airlines,Online,Travel Cruise Protect,103,"KOREA, REPUBLIC OF",44.89950683156402,15.634432856298622,F,19,Yes
CCR,Airlines,Online,Silver Plan,76,NEPAL,54.92502879302419,16.067216416629343,F,21,Yes
C2B,Airlines,Online,Silver Plan,92,PHILIPPINES,39.960423527032745,10.710423527032745,F,25,Yes
C2B,Airlines,Online,Comprehensive Plan,65,PHILIPPINES,50.44855531593809,13.025722342030956,F,22,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,89,MACAO,50.43858826291831,15.923824128500053,F,20,Yes
CBH,Airlines,Online,Individual Comprehensive Plan,64,NEW ZEALAND,59.04206341670102,16.198802026877612,F,23,Yes
CSR,Airlines,Online,Spouse or Parents Comprehensive Plan,101,MACAO,43.47283887226995,14.22283887226995,F,21,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,91,MACAO,49.69888110133075,15.900182156265293,F,20,Yes
CSR,Airlines,Online,Spouse or Parents Comprehensive Plan,101,MACAO,43.5493245507641,14.299324550764096,F,20,Yes
CCR,Airlines,Online,Single Trip Travel Protect Gold,78,MYANMAR,54.254534306755474,16.045786568642065,F,21,Yes
C2B,Airlines,Online,Comprehensive Plan,56,PHILIPPINES,62.002868125077924,16.293433073247044,F,23,Yes
CBH,Airlines,Online,Single Trip Travel Protect Gold,93,NORWAY,40.24257017136883,10.992570171368834,F,25,Yes
CBH,Airlines,Online,Individual Comprehensive Plan,64,NEW ZEALAND,59.12280573143655,16.201382652917584,F,23,Yes
C2B,Airlines,Online,Comprehensive Plan,42,NEW ZEALAND,77.14954271466956,21.47869961535331,F,28,Yes
CBH,Airlines,Online,Gold Plan,23,NETHERLANDS,74.98262847887963,21.693538961014188,F,38,Yes
CBH,Airlines,Online,Single Trip Travel Protect Platinum,43,MALAYSIA,119.90144387896324,35.162944608695724,F,39,Yes
CBH,Airlines,Online,Single Trip Travel Protect Gold,45,MYANMAR,117.93030880782652,33.732172427749944,F,39,Yes
C2B,Airlines,Online,Comprehensive Plan,23,NORWAY,68.02102344100793,18.754291119696923,F,37,Yes
CCR,Airlines,Online,Premier Plan,36,LAO PEOPLE'S DEMOCRATIC REPUBLIC,97.31024550410038,30.365013533182594,F,34,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,38,HONG KONG,147.72868919701637,47.37577452628344,F,41,Yes
JWT,Airlines,Online,Travel Cruise Protect,24,CHINA,132.36317902245634,45.92008706325542,F,45,Yes
CCR,Airlines,Online,Single Trip Travel Protect Silver,22,ITALY,111.3939727553059,36.08541476493589,F,39,Yes
CSR,Airlines,Online,Single Trip Travel Protect Silver,24,HONG KONG,118.78523197824131,40.18736431869851,F,43,Yes
JWT,Airlines,Online,Travel Cruise Protect,25,CANADA,137.70472784481942,48.085673142532706,F,45,Yes
C2B,Airlines,Online,Comprehensive Plan,23,NEW ZEALAND,71.13644118966549,20.069646535973554,F,37,Yes
JWT,Airlines,Online,Travel Cruise Protect,24,CANADA,134.33464428284577,46.75245617631317,F,45,Yes
CCR,Airlines,Online,Single Trip Travel Protect Silver,22,"KOREA, REPUBLIC OF",105.12189337331064,33.205960139565335,F,38,Yes
CBH,Airlines,Online,Premier Plan,38,MALAYSIA,93.13391293618812,28.524194658397224,F,32,Yes
CBH,Airlines,Online,Premier Plan,38,MALAYSIA,92.28384735322089,28.149507838206134,F,32,Yes
C2B,Airlines,Online,Bronze Plan,78,PORTUGAL,177.90198648301876,44.50931128411322,F,29,Yes
C2B,Airlines,Online,Bronze Plan,44,PHILIPPINES,70.52007210243441,18.556601234922365,F,26,Yes
C2B,Airlines,Online,Bronze Plan,75,PHILIPPINES,175.58927474261807,44.72901889945128,F,30,Yes
JWT,Airlines,Online,Travel Cruise Protect,27,CHINA,135.8347954333349,46.72836013350689,F,45,Yes
CBH,Airlines,Online,Single Trip Travel Protect Gold,45,MYANMAR,117.85834413443858,33.67993600103214,F,39,Yes
JWT,Airlines,Online,Single Trip Travel Protect Silver,35,FRANCE,145.52413707052747,47.58520697829989,F,42,Yes
CSR,Airlines,Online,Spouse or Parents Comprehensive Plan,34,INDIA,129.29878974586313,41.984121522428225,F,42,Yes
JWT,Airlines,Online,Spouse or Parents Comprehensive Plan,23,GERMANY,125.36489422549573,42.49933780352304,F,43,Yes
CCR,Airlines,Online,Single Trip Travel Protect Platinum,21,LAO PEOPLE'S DEMOCRATIC REPUBLIC,101.0699442878063,31.34574715031107,F,37,Yes
CBH,Airlines,Online,Single Trip Travel Protect Gold,20,MYANMAR,93.44226150885358,27.843947329064598,F,35,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,258.95742242134315,64.73926010235206,F,26,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,256.0012813898216,63.99906100941989,F,23,Yes
C2B,Airlines,Online,Annual Silver Plan,378,SINGAPORE,253.62174123247647,63.40323914325002,F,33,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,253.62484371737588,63.40401598592562,F,22,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,256.07262604902405,64.01692526266902,F,24,Yes
C2B,Airlines,Online,Annual Silver Plan,375,SINGAPORE,254.55054713607132,63.63580629076432,F,31,Yes
C2B,Airlines,Online,Annual Silver Plan,373,SINGAPORE,288.4954270989703,72.12610680754587,F,50,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,253.63757612615086,63.40720410087872,F,22,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,254.9705810910579,63.740980147209775,F,23,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,258.99598775965853,64.74891662013498,F,27,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,258.2208788060317,64.5548342207229,F,31,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,253.57536984276155,63.39162803936864,F,39,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,253.65516428957716,63.411608066209084,F,57,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,258.90519279662885,64.72618213332912,F,26,Yes
C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,255.1168245820498,63.7775985961353,F,31,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,254.9820829808465,63.74386014796,F,49,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,254.79042885367218,63.69587116178563,F,23,Yes
C2B,Airlines,Online,Annual Silver Plan,370,SINGAPORE,257.05813479264276,64.26369044414206,F,28,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,255.2742686389863,63.81702159621862,F,35,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,255.798985658023,63.94840743248135,F,34,Yes
C2B,Airlines,Online,Annual Silver Plan,372,SINGAPORE,256.02323059020443,64.00455695093308,F,30,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,62,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,62,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,253.87852027140156,63.4675349970911,F,56,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,F,59,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,254.24111814652397,63.55832722094065,F,54,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,70,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,65,Yes
C2B,Airlines,Online,Annual Silver Plan,379,SINGAPORE,252.85,63.21,M,34,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,F,45,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,67,Yes
C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,F,35,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,M,67,Yes
C2B,Airlines,Online,Annual Silver Plan,364,SINGAPORE,252.85,63.21,F,58,Yes
